UID          PID    PPID  C STIME TTY          TIME CMD
ianuyeda    1817    1240  0 20:45 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1962       2  0 20:45 ?        00:00:00 [kworker/0:6-events]
ianuyeda    1994    1240  0 20:45 ?        00:00:00 /usr/libexec/gvfsd-metadata
ianuyeda    2075    1240  0 20:45 ?        00:00:01 /usr/libexec/gnome-terminal-server
ianuyeda    2086    2075  0 20:45 pts/0    00:00:00 bash
root        2113       1  0 20:46 ?        00:00:02 /usr/lib/snapd/snapd
root        2211       2  0 20:46 ?        00:00:00 [loop1]
root        2277       2  0 20:46 ?        00:00:00 [loop2]
root        2339       2  0 20:46 ?        00:00:00 [loop3]
root        2401       2  0 20:46 ?        00:00:00 [loop4]
ianuyeda    2471    1594  0 20:46 ?        00:00:00 update-notifier
ianuyeda    2615    1240  1 20:46 ?        00:00:04 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
ianuyeda    4965    2086  0 20:52 pts/0    00:00:00 ps -ef
